scan_stamp,callback_now,tf_stamp,dt_scan_tf,dt_scan_now,pending_age,d,sonar_tx,sonar_ty,sonar_tz,sonar_qx,sonar_qy,sonar_qz,sonar_qw,wx,wy,wz,j_xm540_joint_z,j_xm540_joint,j_joint_boat_x,j_joint_boat_y,js_stamp
1777068392.251027,1777068392.255318,1777068392.251027,0.0,0.00429081916809082,0.0006652380034211092,2.089296817779541,-0.26640069172963926,8.219045151794537,-0.32449997876878917,-0.7071042734114518,4.214374243946357e-06,0.7071092889363251,2.33802614479051e-06,-0.26641551118633094,8.219039607795152,-2.4137967964884166,9.266484084946569e-06,-8.112650903058238e-06,-0.266400009393692,8.227046012878418,1777068392.251027
1777068392.3033476,1777068392.3559124,1777068392.3033476,0.0,0.05256485939025879,0.04689424599928316,2.088520050048828,-0.2664006917707574,8.269044388855084,-0.324499978768789,-0.7071042733053385,4.214374243595498e-06,0.7071092890424377,2.3380261454229458e-06,-0.2664155063446418,8.269038846916875,-2.413020028757722,9.266484084946569e-06,-8.112951036309823e-06,-0.266400009393692,8.277045249938965,1777068392.3033476
1777068392.3618085,1777068392.4457211,1777068392.3618085,0.0,0.08391261100769043,0.07984690800367389,2.087904453277588,-0.26640069181100345,8.319043625915633,-0.32449997876878883,-0.7071042732014758,4.21437424325208e-06,0.7071092891462998,2.338026146041967e-06,-0.2664155026316111,8.31903808561093,-2.412404431986495,9.266484084946569e-06,-8.113244803098496e-06,-0.266400009393692,8.327044486999512,1777068392.3618085
1777068392.4159982,1777068392.4555748,1777068392.4159982,0.0,0.03957653045654297,0.007848703004128765,2.0868287086486816,-0.266400691851125,8.36904286297618,-0.3244999787687886,-0.7071042730979346,4.2143742429097254e-06,0.7071092892498402,2.3380261466590726e-06,-0.2664154956519424,8.369037325525998,-2.411328687357615,9.266484084946569e-06,-8.113438525469974e-06,-0.266400009393692,8.360377311706543,1777068392.399078
1777068392.4710255,1777068392.5053902,1777068392.4710255,0.0,0.03436470031738281,0.03048541500174906,2.0837507247924805,-0.26640069189137094,8.419042100036727,-0.32449997876878844,-0.7071042729940723,4.2143742425663095e-06,0.7071092893537018,2.3380261472780936e-06,-0.2664154744693447,8.419036570754054,-2.4082507035014977,9.266484084946569e-06,-8.11383142718114e-06,-0.266400009393692,8.427042961120605,1777068392.4710255
1777068392.5342097,1777068392.5553045,1777068392.5342097,0.0,0.021094799041748047,0.017396725997969043,2.0809431076049805,-0.2664006919322401,8.469041337097273,-0.3244999787687883,-0.7071042728886017,4.214374242217576e-06,0.7071092894591716,2.3380261479066996e-06,-0.26641545521314713,8.469035815264686,-2.4054430863140737,9.266484084946569e-06,-8.114129741443321e-06,-0.266400009393692,8.477042198181152,1777068392.5342097
1777068392.5869958,1777068392.6055999,1777068392.5869958,0.0,0.018604040145874023,0.014455987002293114,2.0779407024383545,-0.2664006919723615,8.51904057415782,-0.32449997876878806,-0.7071042727850607,4.214374241875222e-06,0.7071092895627118,2.3380261485238034e-06,-0.2664154345612009,8.519035060292193,-2.402440681147529,9.266484084946569e-06,-8.114422598737292e-06,-0.266400009393692,8.5270414352417,1777068392.5869958
1777068392.637938,1777068392.6553466,1777068392.637938,0.0,0.01740860939025879,0.004192953994788695,2.0750584602355957,-0.2664006920122337,8.569039811218369,-0.32449997876878794,-0.7071042726821629,4.214374241534995e-06,0.7071092896656089,2.338026149137075e-06,-0.2664154147560412,8.569034305000846,-2.3995584389448488,9.266484084946569e-06,-8.11471363704186e-06,-0.266400009393692,8.577040672302246,1777068392.637938
1777068392.6984656,1777068392.7053716,1777068392.6984656,0.0,0.006906032562255859,0.0012442070001270622,2.0753116607666016,-0.2664006920522306,8.619039048278916,-0.3244999787687877,-0.7071042725789434,4.2143742411937045e-06,0.7071092897688278,2.3380261497522637e-06,-0.2664154171984039,8.619033541389525,-2.3998116394758426,9.266484084946569e-06,-8.115005584841128e-06,-0.266400009393692,8.627039909362793,1777068392.6984656
1777068392.7536752,1777068392.8056147,1777068392.7536752,0.0,0.05193948745727539,0.04531241500080796,2.0794036388397217,-0.2664006920921029,8.669038285339463,-0.32449997876878756,-0.7071042724760453,4.214374240853476e-06,0.707109289871725,2.3380261503655363e-06,-0.26641544687764374,8.669032767591915,-2.403903617548841,9.266484084946569e-06,-8.115296623145696e-06,-0.266400009393692,8.67703914642334,1777068392.7536752
1777068392.8187556,1777068392.8554764,1777068392.8187556,0.0,0.03672075271606445,0.032478610999532975,2.083897590637207,-0.2664006921318506,8.71903752240001,-0.32449997876878733,-0.707104272373469,4.214374240514311e-06,0.7071092899743009,2.338026150976894e-06,-0.26641547940964083,8.71903199272766,-2.408397569346193,9.266484084946569e-06,-8.115586751955561e-06,-0.266400009393692,8.727038383483887,1777068392.8187556
1777068392.8721104,1777068392.942352,1777068392.8721104,0.0,0.07024168968200684,0.06660661599744344,2.084822416305542,-0.2664006921714735,8.769036759460556,-0.3244999787687872,-0.7071042722712142,4.21437424017621e-06,0.7071092900765548,2.338026151586331e-06,-0.26641548661477027,8.769031227334164,-2.4093223950144966,9.266484084946569e-06,-8.115875971270725e-06,-0.266400009393692,8.777037620544434,1777068392.8721104
1777068392.9263413,1777068392.9560108,1777068392.9263413,0.0,0.029669523239135742,0.011916537994693499,2.083930015563965,-0.26640069221134577,8.819035996521105,-0.32449997876878706,-0.7071042721683163,4.214374239835983e-06,0.7071092901794519,2.3380261521996024e-06,-0.2664154809284373,8.819030466762726,-2.408429994272941,9.266484084946569e-06,-8.11597055871971e-06,-0.266400009393692,8.79370403289795,1777068392.8947842
1777068392.9930546,1777068393.005784,1777068392.9930546,0.0,0.012729406356811523,0.008817066001938656,2.07969069480896,-0.26640069226355345,8.885701645935168,-0.32449997876878683,-0.7071042720335843,4.2143742393904975e-06,0.707109290314183,2.3380261530026057e-06,-0.26641545168861147,8.885696127425934,-2.404190673518052,9.266484084946569e-06,-8.116548087855335e-06,-0.266400009393692,8.893702507019043,1777068392.9930546
1777068393.0442154,1777068393.0557833,1777068393.0442154,0.0,0.011567831039428711,0.00769434299581917,2.0750012397766113,-0.26640069230330116,8.935700882995715,-0.3244999787687866,-0.7071042719310078,4.214374239051333e-06,0.7071092904167587,2.338026153613962e-06,-0.2664154190496302,8.935695376930068,-2.3995012184858338,9.266484084946569e-06,-8.116838216665201e-06,-0.266400009393692,8.94370174407959,1777068393.0442154
1777068393.097439,1777068393.1054127,1777068393.097439,0.0,0.007973670959472656,0.004474115994526073,2.07312273979187,-0.2664006923419274,8.985700120056261,-0.32449997876878645,-0.7071042718313253,4.214374238721736e-06,0.7071092905164406,2.3380261542080695e-06,-0.26641540634062694,8.985694618975266,-2.397622718501142,9.266484084946569e-06,-8.11712016002275e-06,-0.266400009393692,8.993700981140137,1777068393.097439
1777068393.16305,1777068393.2059274,1777068393.16305,0.0,0.0428774356842041,0.029563884003437124,2.071552276611328,-0.2664006923947581,9.052365769470326,-0.3244999787687862,-0.7071042716949857,4.214374238270936e-06,0.7071092906527792,2.3380261550206553e-06,-0.26641539604593056,9.0523602725566,-2.396052255320639,9.266484084946569e-06,-8.117505785776302e-06,-0.266400009393692,9.0603666305542,1777068393.16305
1777068393.2217686,1777068393.2557187,1777068393.2217686,0.0,0.033950090408325195,0.03004824299569009,2.0724148750305176,-0.2664006924332598,9.102365006530873,-0.32449997876878606,-0.7071042715956247,4.214374237942404e-06,0.7071092907521394,2.3380261556128466e-06,-0.2664154027894806,9.102359507328226,-2.3969148537397986,9.266484084946569e-06,-8.11778681963915e-06,-0.266400009393692,9.110365867614746,1777068393.2217686
1777068393.2870753,1777068393.3053102,1777068393.2870753,0.0,0.018234968185424805,0.014656772000307683,2.072739601135254,-0.26640069247288284,9.15236424359142,-0.32449997876878584,-0.70710427149337,4.214374237604302e-06,0.7071092908543934,2.3380261562222863e-06,-0.26641540573354155,9.15235874352711,-2.397239579844522,9.266484084946569e-06,-8.118076038954314e-06,-0.266400009393692,9.160365104675293,1777068393.2870753
1777068393.3562348,1777068393.440893,1777068393.3562348,0.0,0.08465814590454102,0.07820047700079158,2.070481777191162,-0.26640069252471676,9.219029893005482,-0.3244999787687856,-0.7071042713596024,4.214374237162005e-06,0.70710929098816,2.338026157019539e-06,-0.26641539054166813,9.219024398932369,-2.394981755900489,9.266484084946569e-06,-8.118454388750251e-06,-0.266400009393692,9.227030754089355,1777068393.3562348
1777068393.4184148,1777068393.4553764,1777068393.4184148,0.0,0.03696155548095703,0.012854948996391613,2.0682761669158936,-0.2664006925629692,9.269029130066029,-0.32449997876878545,-0.7071042712608849,4.214374236835601e-06,0.7071092910868768,2.3380261576078976e-06,-0.2664153755001403,9.269023641845562,-2.3927761456252794,9.266484084946569e-06,-8.118642654153518e-06,-0.266400009393692,9.260363578796387,1777068393.4015336
